"Risky_Area","gender","advantage_risky_area"
"Safe","Female","tanah subur, udara sejuk"
"Safe","Male","tanah nya subur,"
"Safe","Male","tanah subur cocok untuk pertanian"
"Safe","Male","masi banyak adanya hewan dan tumbuhan, ekonomi"
"Safe","Male","mudah untuk berkebun"
"Safe","Male","adem.cocok bercocok tanam, ekonomi, ngg brisik"
"Safe","Female","dapat bercocok tanam dikarenakan tanahnya yang subur(cocok sekali umtuk paraa petani),udaranya sejuk"
"Safe","Female","bisa melihat perkembangan, ekonomi"
"Safe","Female","udaranya sejuk"
"Safe","Male","udara sejuk,tanahnya subur,"
"Safe","Male","tanah subur"
"Safe","Male","tanah subur"
"Safe","Female","udara sejuk"
"Safe","Female","tanah menjadi subur, dapat bercocok tanam, ekonomi"
"Safe","Female","tanahnya subur  Mudah bercocok tanam, ekonomi,  Mudah dalam mencari pasir"
"Safe","Female","tanah yang subur bagus untuk bercocok tanam, ekonomi"
"Safe","Female","tanahnya subur  Cook untuk pertanian, ekonomi"
"Safe","Male","tananya subur"
"Safe","Male","tanah yang subur dan bayak peluang kerja, ekonomi"
"Safe","Male","udara nya sejuk Dan tanah nya subur"
"Safe","Female","tanahnya subur, udaranya sejuk, pemandangannya bagus"
"Safe","Female","tanahnya subur,gampang kerja banyak,udaranya segar"
"Safe","Male","lahan subur, Potensi ekonomi Menjanjikan"
"Safe","Female","sejuk,airnya besih,warganya ramah,udaranya bagustanah suburbanyak sawah,kebun"
"Safe","Female","tanahnya subur,udara sejuk,adanya pasir Dan batu sebagai pendapatan warga"
"Safe","Female","tanahnya sangat subur udaranya sejuk"
"Safe","Male","Alam sejuk"
"Safe","Male","Tempatnya sejuk dan tanahnya subur"
"Safe","Male","tanah subur  air bersih  cuaca dingin"
"Safe","Female","200 tanahnya subur"
"Safe","Male","200  tanahnya subur"
"Safe","Male","tanahnya sbur,udara sejuk,mata pencaharian gampang,mata air bersih"
"Safe","Female","tanah subur air bersih udara segar pertanian melimpah"
"Safe","Female","Pasir banyak   tanah subur  air melimpah   udara sejuk"
"Safe","Male","sejuk .tentram nyaman comfort.tidak berisik dan lingkungan bersih."
"Safe","Female","Enak soalya udaranya adem,banyak perkebunan juga penghijauan,lingkungan bersih dan warganya baik""."
"Safe","Male","udaranya sejuk, pemandangan yang indah nyaman comfort, tanahnya subur, air yang bersih, bahan pangan any melimpah (beras,sayur-sayuran, cabai dan lain lain)."
"Safe","Male","sejuk,tanah subur, banyak pasir"
"Safe","Female","tanah subur,airnya bersih,udara sejuk &gk bising"
"Safe","Male","tanah yang dihsilkan subur  Judah until bercocok tanam, ekonomi"
"Safe","Female","tanahnya subur air bersih"
"Safe","Female","cuacanya dingin,tanahnya subur"
"Safe","Female","tanahnya subur,airnya bersih Dan jernih,"
"Safe","Female","subur untuk cocok tanam"
"Safe","Female","tanah subur udara dingin sering hujan, air"
"Safe","Male","tanah subur  cuaca dingin"
"Safe","Male","tanah subur."
"Safe","Male","tanah subur"
"Safe","Male","tanah subur,udara dingin"
"Safe","Male","Hawanya sejuk,tanah menjadi subur,mendapatkan pemandangan indah"
"Safe","Male","Hawanya sejuk,tanahnya subur,muda mendapatkan kerja"
"Risky","Male","Keuntunganya kebutuhanya hidubudah mudah"
"Risky","Male","Mudah dalam  bertani dan beternak karna melimpahnya pakan,"
"Risky","Female","Tanh sbur pertenkn bagus air y bnyk"
"Risky","Female","airnya berih,subur"
"Risky","Female","subur,air yang jernih,dingin,kebutuhan sehari-hari bisa tercukupi"
"Risky","Female","subur, dingin  Tidak perlu membeli air"
"Risky","Male","tanah subur,air jernih,udara sejuk"
"Risky","Male","kehidupan yang asri, lingkungan yang bersih, tanah subur udara sejuk"
"Risky","Male","keutungan tanah subur"
"Risky","Male","sda yang berlimpah,  tanahnya yang subur,"
"Risky","Female","sejuk,tanahya subur,sumber mata pencaharian pasir banyak."
"Risky","Male","tanahnya subur  udara sejuk  ekonomi mudah"
"Risky","Male","subur,dingin,air BAGUS,KUMPUL orang tua parent,TENTRAM"
"Risky","Male","subur, air bagus,"
"Risky","Male","subur  Dan,sejuk,dan,bisa bercocok tanam,"
"Risky","Male","sejuk, sumber air melimpah, banyak rumput untuk pakan ternak,"
"Risky","Female","dapat menambang pasir dari sisa erupsi,tanah subur,fasilitas air sangat mencukupi,"
"Risky","Male","sejuk,subur, kelahiran, berkumpul orang tua parent Dan kerabat, fasilitas air sangat mencukupi, udara tidak panes"
"Risky","Female","Dapat menambang pasir dari sisa erupsi. tanahnya subur. udara sejuk. Dan dapat menikmati keindahan alam dan panorama semeru, asri."
"Risky","Male","subur,udaranya segar,air bersih,tempatnya indah"
"Risky","Female","udara yg sejuk,pemandangan indah"
"Risky","Female","Hidup d pegunungan bisa beternak, tanam sayuran juga gampang, ekonomi"
"Risky","Female","sejuk,tanah nya subur,pemandangannya indah"
"Risky","Male","udaranya sejuk tanah subur Cari ekonomi mudah"
"Risky","Female","Penghasilannya lumayan, ekonomi,  air baik, jernih"
"Risky","Male","ekonomi mudah  tanahnya subur  udara sejuk"
"Risky","Female","udara nya sejuk"
"Risky","Male","tanahnya subur,udara sejuk dan sebagai penghasilan seperti menanam pasir ekonomi"
"Risky","Male","ekonomi mudah.tanah subur"
"Risky","Male","subur.sejuk.tidak ada polusi.cari pekerjan mudah dan pemandangan indah"
"Risky","Male","tanah nya subur air pun bagus untuk d kunsumsi sehari hari"
"Risky","Female","ekonomi sangat mudah dengan cara tambang pasir"
"Risky","Male","tanahnya yang subur. udara yang sejuk. Mta pencaharian mudah"
"Risky","Female","udara sejuk cari pangan gak sulit"
"Risky","Male","tanahnya dan tanamanya subur"
"Risky","Male","Pakan ternak melimpah, seperti rambanan, ekonomi"
"Risky","Female","tanah yang subur  sumber mata air yang melimpah  sumber daya dalam sektor pertambangan melimpah  banyak lahan pertanian dan peternakan"
"Risky","Female","udaranya sejuk ,tanahnya subur ,"
"Risky","Female","tanahnya subur,tempat sejuk,pemandangan bagus,tempat gg bising, kalau gg punya uang bisa cari dedauan atau umbiv"
"Risky","Female","tanah subur   Penghasilan lbh banyak ekonomi  Lebih banyak air  Lbh banyak pakan ternak"
"Risky","Female","Sangat banyak misalnya cari sandang pangan mudah, safe aman damai, tentram nyaman comfort, jauh Dr polusi"
"Risky","Male","Pertanian di kebun dan sawah dan peternak kambing dan sapi"
"Risky","Male","tani dan ternak gampang, matapencaharian gampang"
"Risky","Female","Keuntungannya:-air sangat bersih   -tanah sangat subur"
"Risky","Male","Cari ekonomi gampang desanya safe aman dan ini tanah lahir saya"
"Risky","Male","tanahnya subur  ekonomi gampang  Desanya safe aman"
"Risky","Male","Karena dekat tambang pasir"
"Risky","Male","tanahnya  subur  ekonomi mudah"
"Risky","Female","senang sekali  bisa kerja  tanah subur"
"Risky","Male","tanah subur , gampang mata pencaharian ,dan gampang mendapatkan pakan ternak."
"Risky","Male","Segi ekonomi mudah  tanahnya subur"
"Risky","Female","Murah sandang pangan"
"Risky","Male","tanah yang subur untuk bercocok tanam, ekonomi"
"Risky","Male","Segi ekonomi pertanian subur udara sejuk"
"Risky","Female","udaranya sejuk  tanahnya subur"
"Risky","Female","subur"
"Risky","Female","asri  Lingkungan bagus  Suasana tenang, nyaman comfort  Tempat kelahiran  Papan panan di sini  Mulai dari orangtua"
"Risky","Male","ekonomi yang mudah.   udara yang sejuk.  pertanian subur"
"Risky","Female","murah sandang pangan"
"Risky","Male","ekonomi mudah  Pertaniannya subur  udaranya sejuk"
"Risky","Female","tanahnya subur, bertani mudah"
"Risky","Male","Kayu sengon, balsa, kapulogo, ekonomi"
"Risky","Male","tanah yang subur."
"Risky","Male","subur Dan sejuk"
"Risky","Female","tanahnya subur  ekonomi mudah"
"Risky","Female","tanahny subur"
"Risky","Female","tanahnya subur, udaranya juga sejuk."
"Risky","Male","tanah yang subur"
"Risky","Male","tanahnya sangat subur dn pertanian dn peternakan mudah prose pengelolahannya"
"Risky","Female","tanahnya subur, pertaniannya mudah, udaranya segar alami"
"Risky","Female","Tanaman subur  air sejuk"
"Risky","Female","tanah subur  air sejuk  Pemandangan indah"
"Risky","Female","tanah subur   air sejuk  Pmandngan indah"
"Risky","Female","tanahnya subur  udara sejuk"
"Risky","Female","Tanamannya subur,sangat sejuk udaranya,pemandangannya indah."
"Risky","Female","Tanaman subur,air sejuk,udara dingin"
"Risky","Male","tanahnya subur"
"Risky","Male","desanya indah tanahnya subur"
"Risky","Male","karna subur tanahnya"
"Risky","Male","tanahnya yang subur"
"Risky","Female","tanahnya subur"
"Risky","Female","Tanaman subur...."
"Risky","Male","Tanaman subur"
"Risky","Male","Tanaman subur  air bagus"
"Risky","Male","Bisa menghasilkan sandang pangan"
"Risky","Male","tanah yang subur"
"Risky","Female","Tanaman subur"
"Risky","Male","cari pasir dan ternak kambing"
"Risky","Male","bisa memperbaiki rumah dan membeli kendaraan untuk sehari2, ekonomi"
"Risky","Female","tani tanam cabe"
"Risky","Male","tanahnya subur  Penghasilan enak, ekonomi, airnya bersih"
"Risky","Male","subur, ekonomi mudah, lahan murah"
"Risky","Female","ekonomi mudah  tanahnya subur"
"Risky","Female","ekonomi mudah  air bersih  tanah subur"
"Risky","Female","ekonomi nya baik air nyabersih  tanah subur"
"Risky","Female","ekonomi gmpang suasana sejuk"
"Risky","Male","tanahnya subur udara sejuk perekonomian lancar"
"Risky","Male","tanahnya subur  kalau menanam lekas panen  ekonomi juga enak, lancar  udara sejuk  kerja gampang"
"Risky","Male","ekonomi gmpang suasana sejuk"
"Risky","Female","tanahnya subur  udaranya sejuk"
"Safe","Male","sejuk,dan tanahnya pun subur"
"Safe","Male","subur  sejuk segar"
"Safe","Male","enak menghirup udara sejuk"
"Safe","Female","udara sejuk dan segar, air melimpah"
"Safe","Male","sejuk udaranya"
"Safe","Female","1.air mudah  2.udara sejuk dan segar  3.banyak tumbuhan yang dapat dimanfatkan"
"Safe","Male","sejuk"
"Safe","Female","udaranya segar"
"Safe","Female","air mudah,udara sejuk,ekonomi mudah"
"Safe","Female","air mudah, udara sejuk, banyaknya tumbuhan yang menghasilkan oksigen yang bersih"
"Safe","Female","sangat berbahaya"
"Safe","Female","udaranya sejuk dan terjaga"
"Safe","Female","spppppp,uddapp"
"Safe","Female","sejuk dan indah"
"Safe","Male","sangat sejuk..sandang pangan murah...cocok buat berKEBUN..."
"Safe","Female","udara sejuk, tanah subur, terdapat sumber air bersih"
"Safe","Male","aair bersih  udara bersi  tanah subur"
"Safe","Male","udaranya sejuk,air bersih,tanahnya subur"
"Safe","Male","airya yang bersih udaranya sejuk"
"Safe","Male","Hawa dingin, rumahnya disini, lahir"
"Safe","Male","tanah yang subur"
"Safe","Female","tanahnya subur,udara sejuk,ekonomi mudah"
"Safe","Male","sejuk dan nyaman comfort"
"Safe","Female","udara sejuk,pertanian subur,ekonomi mudah,"
"Safe","Female","tanahnya subur,udaranya sejuk"
"Safe","Male","sejuk dan cocok untuk becocok tanam"
"Safe","Female","suasana safe aman"
"Safe","Male","tanah cocok untuk bertani"
"Safe","Female","tanah yang subur,udara sejuk,ekonomin mudah"
"Safe","Female","sejuk,safe aman,ekonomi mudah,"
"Safe","Female","Pasirnya banyak,,tanah subur"
"Safe","Female","udara sejuk, jauh dari polusi."
"Safe","Female","tanah subur"
"Safe","Female","Banyak peluang kerja untuk warga baik perempuan maupun laki laki, ekonomi"
"Safe","Female","tanah subur rampant melimpah yang many menanam ekonomi masyaraat sekitar"
"Safe","Male","lahan pertanian subur,mudah lap kerja dlm tambng pasir"
"Safe","Male","Banyak tambang pasir semeru"
"Safe","Female","tanah subur"
"Safe","Female","Pasirnya banyak  tanahnya subur  airnya banyak"
"Safe","Female","tanahnya subur,air nya bersih,udaranya sejuk"
"Safe","Female","tanahnya subur  airnya bersih  ekonomi mudah"
"Safe","Male","tanah subur, mudah mencari bahan pangan,udara yang sehat dan sejuk,air yang bersih."
"Safe","Male","tanahnya subur,"
"Safe","Male","tanahnya subu  airnya jernih"
"Safe","Male","Tananya subur"
"Safe","Male","tanah subur,air bersih,udara segar,tidak bising dengan kendaraan,pangan banyak tersedia"
"Safe","Female","tanah subur"
"Safe","Female","tanahny subur, airnya bersh Dan udaranya sejuk"
"Safe","Male","tanahv subur udara sehat air bersih"
"Safe","Male","tanahnya subur"
"Safe","Male","Pasir banyak tanah, subur, air bersih"
"Safe","Female","Pasir gak beli  tanah subur  air jernih"
"Safe","Male","subur"
"Safe","Female","Keuntungan banyak pasirnya"
"Safe","Male","tanah subur, udaranya sejuk"
"Safe","Female","udara sejuk dingin air sumber murni"
"Safe","Female","Menghasilkan tambang, terdapat air yang bersih,suasananya sejuk"
"Safe","Female","Banyak pasir"
"Safe","Male","udara sejuk,air bersih,tanah subur,anti polusi"
"Safe","Male","airnya murni, bersih"
"Safe","Female","Tempat sejuk airnya jerni hasil tambang luas"
"Safe","Male","cuaca yang cerah , air yang sejuk , udara yang dingin"
"Safe","Female","Pasire banyak   tanahnya subur   air nya bnyak"
"Safe","Female","cuacanya segar ,tanahnya subur,air nya bersih dan hasil tambang pasir banyak"
"Safe","Male","udaranya sejuk  tanahnya subur  airnya bersih"
"Safe","Female","cuacanya segar udaranya dingin airnya bersih hasil tambang banyak"
"Safe","Male","udara sejuk,tanahnya subur,cuaca dingin"
"Safe","Male","tanah subur basil pertanian melimpah"
"Safe","Male","sejuk"
"Safe","Male","Tananya subur,banyak material pasir, udaranya sejuk, oksigen bagus, tidak polusi."
"Safe","Female","tanahnya subur  airnya jernih"
"Safe","Female","udara bersih,tanahnya subur"
"Safe","Male","Banyak pasir tanahnya subur Dan udaranya sejuk Dan gak panas"
"Safe","Male","sejuk alami"
"Safe","Female","air bersih , tanahnya subur ,udaranya sejuk"
"Safe","Female","udaranya bersih, airya bersih,tanahnya subur"
"Safe","Female","air bersih, udara sejuk, tanah subur"
"Safe","Male","Mendaptkan udara yang segar Dan memiliki tanah yang subur"
"Safe","Female","tanahnya subur  air bersih  udara sejuk"
"Safe","Female","Keuntungannya memiliki tanah yang subur mata air yang melimpah udara sangat sejuk"
"Safe","Male","udara sejuk tidak Ada polusi, tanah subur, air melimpah, murah sandang pangan"
"Safe","Male","Biaya hidup murah, ekonomi"
"Safe","Male","Mendapatkan udara yang segar, tanah subur"
"Safe","Female","tanah subur cocok untuk bercocok tanam"
"Safe","Female","Dapat mengetahui aktivitas gunung merapi safe aman"
"Safe","Male","tanah subur, udara sejuk"
"Safe","Female","Sebagian besar adalah bertani ekonomi, dan tanah di daerah pronojiwo sangat subur"
"Safe","Male","Banyaknya lapanga kerja"
"Safe","Male","Banyaknya gampang kerja"
"Safe","Female","udaranya sejuk tanahnya subur mata air bersih"
"Safe","Female","tanahnya subur airnya bersih"
"Safe","Female","udara sejuk  tanah subur  Perkarangan rusak"
"Safe","Female","Tanhya subur  airnya melimpah  udaranya sejuk"
"Safe","Male","Banyak lahan pertanian yang subur dan luas"
"Safe","Female","Masih banyak pohon asri,sumber mata air bersih"
"Safe","Male","banyak gampang pekerjaan"
"Safe","Male","Jauh dari polusi"
"Safe","Female","tanahnya subur"
"Safe","Male","tanahnya subur  ekonomi mudah  air bersih"
"Safe","Male","tanahnya subur cocok untuk bertani"
"Safe","Female","tanahnya subur, udaranya sejuk"
"Safe","Female","tanahnya subur  udara sejuk"
"Safe","Male","udara segar  Terhindar dari polusi udara  Keadan tanah subur   mudah untuk pertanian"
"Safe","Female","Mudah bercocok tanam, mendapatkan bahan kosumsi mudah, udara sejuk"
"Safe","Male","tanah subur"
"Safe","Male","sejuk jauh dari polusi"
"Safe","Female","Tempat dan daerahnya subur serta minim polusi"
"Safe","Female","tanahnya subur airnya bersih dan udaranya sangat sejuk"
"Safe","Male","Banyak gampang kerja dan tanah yang subur"
"Safe","Male","tanah subur udara sejuk jauh dari polusi"
"Safe","Female","tanah subur   air bersih"
"Safe","Male","tanah subur pertanian maju"
"Safe","Male","tanah subur buat pertanian salak pondo"
"Safe","Female","Daerahnyan sejuk dan banyak sumber air yang bersih,"
"Safe","Female","Kemakmuran rakyat, dengan adanya pasir menjadi sumber penghasilan masyarakat, ekonomi"
"Safe","Male","tanah subur, air bersih"
"Safe","Female","air bersih, tanahnya subur dan nyaman comfort."
